เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เมืองเก่าซ่ง(รัฐราษฎร์รังสรรค์),ต.กุง อ.ศิลาลาด จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
เชือก(ทวีปัญญา),ต.หนองขอน อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เค็ง,ต.กระโสบ อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เอือดใหญ่,ต.เอือดใหญ่ อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
เวินบึก,ต.โขงเจียม อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
เอ้,ต.ก่อเอ้ อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เสียม(เสียมทองวิทยาคาร),ต.หัวดอน อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เค็งนาดี,ต.ศรีสุข อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เหนือเขมราฐ,ต.เขมราฐ อ.เขมราฐ จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เตย(คุรุราษฎร์วิทยา),ต.ขามป้อม อ.เขมราฐ จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เสาเล้า,ต.นาส่วง อ.เดชอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
เม็กใหญ่,ต.กลาง อ.เดชอุดม จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
เปือย,ต.บุเปือย อ.น้ำยืน จ.อุบลราชธานี 34260,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
เก่าขาม,ต.เก่าขาม อ.น้ำยืน จ.อุบลราชธานี 34260,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
เก่ากลาง,ต.ห้วยข่า อ.บุณฑริก จ.อุบลราชธานี 34230,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
เวียง(ตุอุปถัมภ์),ต.กระเดียน อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เกษม,ต.เกษม อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เอ็นอ้า,ต.ตระการ อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เป้า(รัฐราษฎร์บำรุง),ต.เป้า อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เสาธงใหญ่,ต.เซเป็ด อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เขือง,ต.หนองเต่า อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เทวัญ(คุรุราษฎร์นุกูล),ต.ท่าหลวง อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เล้า,ต.บ้านแดง อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เทพา,ต.ม่วงสามสิบ อ.ม่วงสามสิบ จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เหล่าข้าวดอนก่อ,ต.ม่วงสามสิบ อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เศรษฐี,ต.เหล่าบก อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เตย,ต.เตย อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เหล่าบาก,ต.หนองฮาง อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เป็ดฟากทุ่ง,ต.โพนแพง อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เด็กวารินชำราบ,ต.วารินชำราบ อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
เกษตรพัฒนา,ต.คำขวาง อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
เดื่อสะพานโดม,ต.โพธิ์ไทร อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
เลิงบาก,ต.นาโพธิ์ อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
เม็ก,ต.หนองบัวฮี อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
เลาะ,ต.โพธิ์ไทร อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เปือย,ต.โนนกาเล็น อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
เหล่าแดง,ต.เหล่าแดง อ.ดอนมดแดง จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เหล่าอินทร์แปลง,ต.ช่องเม็ก อ.สิรินธร จ.อุบลราชธานี 34350,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
เหล่าคำ,ต.โนนก่อ อ.สิรินธร จ.อุบลราชธานี 34350,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
เบญจ์โนนดู่,ต.หนองอ้ม อ.ทุ่งศรีอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
เหมือดแอ่แก้งไฮ,ต.นาตาล อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
เป้า,ต.เหล่าเสือโก้ก อ.เหล่าเสือโก้ก จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เหล่าคำ,ต.เหล่าเสือโก้ก อ.เหล่าเสือโก้ก จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เหล่าแค,ต.เหล่าเสือโก้ก อ.เหล่าเสือโก้ก จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เหล่าเสือโก้ก,ต.เหล่าเสือโก้ก อ.เหล่าเสือโก้ก จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
เชือก,ต.เดิด อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
เดิด,ต.เดิด อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
เชือกน้อย,ต.ขั้นไดใหญ่ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
เขื่องคำ,ต.เขื่องคำ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
เหล่าเมย,ต.ทรายมูล อ.ทรายมูล จ.ยโสธร 35170,เขตพื้นที่การศึกษายโสธร เขต 2
เสาเล้า,ต.ดู่ลาด อ.ทรายมูล จ.ยโสธร 35170,เขตพื้นที่การศึกษายโสธร เขต 2
เหล่าตำแย,ต.กุดชุม อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
เอราวัณ,ต.กุดชุม อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
เที่ยงนาเรียง,ต.คำน้ำสร้าง อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
เหล่าฝ้าย,ต.ลุมพุก อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
เหล่ามะเขียว,ต.กุดกุง อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
เหล่าหุ่ง,ต.เหล่าไฮ อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
เหล่าไฮ,ต.เหล่าไฮ อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
เชียงเครือคำสร้างบ่อ,ต.กระจาย อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
เซซ่งพัฒนา,ต.เชียงเพ็ง อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
เซโนนม่วง,ต.เชียงเพ็ง อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
เตาไห,ต.ศรีฐาน อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
เหมือดป่าตอง,ต.ฟ้าหยาด อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
เปือย,ต.ผือฮี อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
เวินชัย(คุรุราษฏร์บำรุง),ต.ผือฮี อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
เหมือดขาว,ต.ม่วง อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
เหล่าใหญ่,ต.ม่วง อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
เลียบ,ต.โนนทราย อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
เหล่าน้อย(ศรีคุรุราษฎร์วิทยา),ต.ค้อวัง อ.ค้อวัง จ.ยโสธร 35160,เขตพื้นที่การศึกษายโสธร เขต 1
เหล่าหันทราย,ต.ส้มผ่อ อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
เล่าวิทยาคาร,ต.บ้านเล่า อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
เสี้ยวน้อย,ต.บ้านเล่า อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
เสี้ยวใหญ่,ต.บ้านเล่า อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
เขว้าวิทยายน,ต.บ้านเขว้า อ.บ้านเขว้า จ.ชัยภูมิ 36017,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
เขว้าศึกษา,ต.บ้านเขว้า อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
เดื่อวิทยาคม,ต.บ้านเดื่อ อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เดื่อดอนกลาง(ประชาสงเคราะห์),ต.บ้านเดื่อ อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เป้าวิทยา,ต.บ้านเป้า อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เป้า(สำราญไชยวิทยา),ต.บ้านเป้า อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 3620,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เมืองกลางวิทยา,ต.โนนกอก อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เขวา,ต.บ้านบัว อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เดื่อ,ต.กุดน้ำใส อ.จัตุรัส จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
เสลาประชารัฐ,ต.บ้านชวน อ.บำเหน็จณรงค์ จ.ชัยภูมิ 36160,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
เกาะมะนาว,ต.เกาะมะนาว อ.บำเหน็จณรงค์ จ.ชัยภูมิ 36160,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
เสลี่ยงทอง,ต.นายางกลัก อ.เทพสถิต จ.ชัยภูมิ 36230,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
เทพพนาธรรมนิติอุปถัมภ์,ต.บ้านไร่ อ.เทพสถิต จ.ชัยภูมิ 36230,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
เมืองคง,ต.บ้านเพชร อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เรือ,ต.กุดยม อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เหมือดแอ่หนองโดน,ต.สามสวน อ.บ้านแท่น จ.ชัยภูมิ 36190,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เลิงทุ่ม,ต.หลุบคา อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เหล่ากาดย่า,ต.หลุบคา อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เซียมป่าหม้อ,ต.โคกกุง อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เก่าวิทยานุกูล,ต.เก่าย่าดี อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เซินใต้,ต.คอนสาร อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
เจาทอง,ต.เจาทอง อ.ภักดีชุมพล จ.ชัยภูมิ 36260,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
เจาเหนือ,ต.วังทอง อ.ภักดีชุมพล จ.ชัยภูมิ 36260,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
เขื่อนลั่น,ต.ตะโกทอง อ.ซับใหญ่ จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
เจริญสามัคคี,ต.บุ่ง อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เชือก,ต.นาจิก อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เหล่าหนาด,ต.นาผือ อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เหล่ายางชุมสามัคคี,ต.คำเขื่อนแก้ว อ.ชานุมาน จ.อำนาจเจริญ 37210,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เกษมสุข,ต.ลือ อ.ปทุมราชวงศา จ.อำนาจเจริญ -,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เค็งใหญ่หนองงูเหลื่อม,ต.เค็งใหญ่ อ.หัวตะพาน จ.อำนาจเจริญ,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เป้า,ต.เค็งใหญ่ อ.หัวตะพาน จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เวียงหลวง,ต.โพนเมืองน้อย อ.หัวตะพาน จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เหล่าขวาว,ต.โพนเมืองน้อย อ.หัวตะพาน จ.อำนาจเจริญ -,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เสียว,ต.รัตนวารี อ.หัวตะพาน จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เหล่าฝ้าย,ต.ดงบัง อ.ลืออำนาจ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เหล่าเลิง,ต.ไร่ขี อ.ลืออำนาจ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เหล่าฝ้ายศาลาสามัคคี,ต.แมด อ.ลืออำนาจ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
เสาเล้าโคกแก่นช้าง,ต.หนองบัว อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
เพ็กเฟื้อย,ต.หนองหว้า อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
เอื้องโนนไร่โนนสาวิทยา,ต.ฝั่งแดง อ.นากลาง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
เก่ากลอยกุดกระสู้,ต.เก่ากลอย อ.นากลาง จ.หนองบัวลำภู 39350,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
เซินราษฎร์เกษมศรี,ต.นาดี อ.สุวรรณคูหา จ.หนองบัวลำภู 39270,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
เลิง,ต.โคกสี อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เหล่าเกวียนหัก,ต.บ้านทุ่ม อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เลิงเปือย,ต.พระลับ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เพี้ยฟานโนนตุ่น,ต.สาวะถี อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เหล่านางาม,ต.บ้านหว้า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เหล่านาดี,ต.บ้านหว้า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เหล่านกชุมวิทยาสรรค์,ต.ดอนหัน อ.เมืองขอนแก่น จ.ขอนแก่น 40260,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เต่านอ,ต.ศิลา อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เป็ด,ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เหมือดแอ่คุรุราษฎร์อุทิศ,ต.หนองตูม อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
เหล่าประชานุเคราะห์,ต.หนองเรือ อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
เม็ง,ต.บ้านเม็ง อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
เหมือดแอ่ภูเม็ง,ต.บ้านเม็ง อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
เสียวโคกกลาง,ต.วังชัย อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
เหล่าใหญ่ประชานุกูล,ต.บ้านขาม อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
เพี้ยฟานโนนสวรรค์,ต.บัวเงิน อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
เวียงแก้ว,ต.หนองกุงใหญ่ อ.กระนวน จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
เกิ้ง,ต.บ้านไผ่ อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เป้า,ต.บ้านไผ่ อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เก่าน้อย,ต.ในเมือง อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เสือเฒ่า,ต.ป่าปอ อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เมืองเพีย,อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เตาเหล็ก,ต.โจดหนองแก อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เก่างิ้วหนองบั่ว(คุรุราษฎร์ประสิทธิ์),ต.เก่างิ้ว อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เพ็กใหญ่และสระบัว(คุรุราษฏร์สามัคคี),ต.เพ็กใหญ่ อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เพ็กน้อย,ต.โสกนกเต็น อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เปาะ,ต.หนองสองห้อง อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เมย,ต.หนองสองห้อง อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เหล่านกชุม,ต.สำโรง อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เรือ,ต.บ้านเรือ อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
เมืองเก่า,ต.เมืองเก่าพัฒนา อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
เลิงแสง,ต.กุดขอนแก่น อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
เขวา,ต.กุดเค้า อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เหล่ากกหุ่งสว่าง,ต.สวนหม่อน อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เสาเล้าหินแตก,ต.นางาม อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เหล่าเหนือ,ต.ห้วยแก อ.ชนบท จ.ขอนแก่น 40180,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เขาวง,ต.วังสวาบ อ.ภูผาม่าน จ.ขอนแก่น 40350,เขตพื้นที่การศึกษาขอนแก่น เขต 5
เล็บเงือก,ต.โคกสำราญ อ.บ้านแฮด จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
เหล่าโนนคูณ,ต.โนนศิลา อ.โนนศิลา จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เปือยใหญ่ชาติหนองบ่อ,ต.เปือยใหญ่ อ.โนนศิลา จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 3
เดื่อ,ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เม่น,ต.บ้านขาว อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เก่าน้อย,ต.หนองบัว อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เชียงยืน,ต.เชียงยืน อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เลื่อม,ต.บ้านเลื่อม อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เชียงพิณ,ต.เชียงพิณ อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เหล่าดอนแตง,ต.นาข่า อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เลี่ยมพิลึก,ต.บ้านจั่น อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เซประชาอุทิศ,ต.หนองขอนกว้าง อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เชียงพัง,ต.นากว้าง อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เชียงเพ็ง,ต.เชียงเพ็ง อ.กุดจับ จ.อุดรธานี 41250,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เหล่าตำแย,ต.ตาลเลียน อ.กุดจับ จ.อุดรธานี 41250,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เลา,ต.น้ำพ่น อ.หนองวัวซอ จ.อุดรธานี 41360,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เสาเล้า,ต.หนองวัวซอ อ.หนองวัวซอ จ.อุดรธานี 41220,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เกิ้งน้อย,ต.ปะโค อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เมืองพรึก,ต.แชแล อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เหล่ากกโพธิ์กกเค็ง,ต.แชแล อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เหล่าแชแลหนองแวง,ต.แชแล อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เหล่าหมากบ้าเชียงสม,ต.แชแล อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เชียงแหว,ต.เชียงแหว อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เซียบ,ต.เชียงแหว อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เดียม,ต.เชียงแหว อ.กุมภวาปี จ.อุดรธานี -,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เสอเพลอโนนสวรรค์,ต.เสอเพลอ อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
