ดอนข่อย(คงสมโอษฐ์ราษฏร์บำรุง),ต.โคกม่วง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ดอนตัดเรือ,ต.โนนแดง อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดอนยาว,ต.ดอนยาวใหญ่ อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดอนขวาง,ต.ทัพรั้ง อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ดงหลบ,ต.ช่องแมว อ.ลำทะเมนชัย จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ด่านพัฒนา,ต.พระพุทธ อ.เฉลิมพระเกียรติ จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ดอนใหญ่,ต.บ้านบัว อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ดงย่อ,ต.ปะเคียบ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ดงเค็ง,ต.หนองขมาร อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ดอนยาว,ต.กันทรารมย์ อ.กระสัง จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ดอนตูม,ต.บ้านยาง อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ดอน,ต.หายโศก อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ดงยายเภา,ต.นิคม อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ดวน,ต.ห้วยราช อ.ห้วยราช จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ดงบังซับสมบูรณ์,ต.ดงอีจาน อ.โนนสุวรรณ จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ดอนสมบูรณ์,ต.ดงอีจาน อ.โนนสุวรรณ จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
