ดอนข่อย(คงสมโอษฐ์ราษฏร์บำรุง),ต.โคกม่วง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ดอนทะแยง,ต.บ้านปรางค์ อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนกลาง,ต.หนองมะนาว อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนใหญ่,ต.ดอนใหญ่ อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนเปล้า,ต.บ้านเหลื่อม อ.บ้านเหลื่อม จ.นครราชสีมา 30350,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนตะหนิน,ต.โคกกระเบื้อง อ.บ้านเหลื่อม จ.นครราชสีมา 30350,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดงพลอง,ต.คลองเมือง อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ดอน,ต.กระโทก อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ดอนพราหมณ์,ต.ท่าอ่าง อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ดอนเกตุ,ต.ทุ่งอรุณ อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ดะแลง,ต.ทุ่งอรุณ อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ด่านเกวียน,ต.ด่านเกวียน อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ดอนด่านใน,ต.ด่านใน อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ดอน,ต.พันชนะ อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ดอนใหญ่หนองโสน,ต.หนองกราด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ดอนมุกมัน,ต.หนองบัวตะเกียด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ด่านกรงกราง,ต.โนนไทย อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ดอนสระจันทร์,ต.ถนนโพธิ์ อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ดอนม่วง,ต.ใหม่ อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ด่านเกวียน,ต.โตนด อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ด่านทองหลาง,ต.โตนด อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ดอนชมพู(สังฆประชานุเคราะห์),ต.ดอนชมพู อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ดงพลอง(สำนักงานสลากกินแบ่งฯ),ต.หลุมข้าว อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ด่านติง,ต.จันอัด อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ดอนผวา,ต.ลำคอหงษ์ อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ดอนหวาย(สิงห์คุรุประชาสรรค์),ต.ดอนหวาย อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ดอนพะงาด(รัฐราษฎร์วิทยา),ต.พะงาด อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ดอนฆ่าเสือ,ต.บัวใหญ่ อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดงบัง,ต.ห้วยยาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ด่านช้าง,ต.ห้วยยาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนแร้ง,ต.กุดจอก อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนหันโนนเพ็ด,ต.ด่านช้าง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนคนทา,ต.ขุนทอง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ดอนวัว,ต.เมืองโดน อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดอนสามัคคี,ต.เมืองโดน อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดู่(สหราษฎร์วิทยา),ต.เมืองปัก อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ดอน(สหรัฐ-ราษฎร์อุทิศ),ต.ดอน อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ดอนแซะ,ต.ในเมือง อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดอนหวาย,ต.หนองระเวียง อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดอนเขว้า,ต.ชีวาน อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดงประชานุกูล,ต.ดงใหญ่ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดอนลำดวน,ต.ประสุข อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดงบัง(สว่างวิทยา),ต.โนนรัง อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ดอนเมือง,ต.ดอนเมือง อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ดอนไผ่,ต.สีสุก อ.แก้งสนามนาง จ.นครราชสีมา 30440,เขตพื้นที่การศึกษานครราชสีมา เขต 6
