ใหม่(ศรีอินทร์พงษ์วิทยาคาร),ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
ใหม่โสกส้มกบ,ต.บ้านใหม่ อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ใหม่นาเพียง,ต.ใหม่นาเพียง อ.แวงใหญ่ จ.ขอนแก่น 40330,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ใหม่,ต.เมืองพาน อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ใหม่,ต.เพ็ญ อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ใหม่,ต.นาซ่าว อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ใหม่ตาแสง,ต.นาซ่าว อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ใหม่ศรีชมภู,ต.ป่าแฝก อ.พรเจริญ จ.หนองคาย 43180,เขตพื้นที่การศึกษาหนองคาย เขต 3
ใหม่,ต.กุดบง อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ใหม่สามัคคี,ต.ท่าสะอาด อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ใคร่นุ่นราษฏร์บำรุง,ต.มะค่า อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ใคร่นุ่น,ต.ท่าขอนยาง อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ใหม่ชัยมงคล,ต.โพน อ.คำม่วง จ.กาฬสินธุ์ 46180,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ใหม่พัฒนา,ต.สร้างค้อ อ.ภูพาน จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 1
ใหม่พัฒนา(สาขาภูพานทอง),ต.สร้างค้อ อ.ภูพาน จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 1
ใหม่วังเซือม,ต.ปลาปาก อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
ใหม่,ต.ข่วงเปา อ.จอมทอง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ใหม่สารภี,ต.แม่สอย อ.จอมทอง จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
