ใหม่(ศรีอินทร์พงษ์วิทยาคาร),ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
ใหม่สมบูรณ์,ต.สลุย อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
ในเหมือง,ต.นาขา อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
ในกริม,ต.หาดยาย อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
ในหยาน,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร 86180,เขตพื้นที่การศึกษาชุมพร เขต 2
ในหุบ,ต.เขาค่าย อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
ใหม่,ต.ท่าม่วง อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
ใหม่,ต.ปริก อ.สะเดา จ.สงขลา 90120,เขตพื้นที่การศึกษาสงขลา เขต 3
ใต้,ต.คูเต่า อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ใหม่,อ.เมืองสตูล จ.สตูล 91140,เขตพื้นที่การศึกษาสตูล เขต 1
ในเมือง,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
ในควน,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ในปง,ต.อ่าวตง อ.วังวิเศษ จ.ตรัง 92220,เขตพื้นที่การศึกษาตรัง เขต 2
ใสอ้อย,อ.ควนขนุน จ.พัทลุง 93110,เขตพื้นที่การศึกษาพัทลุง เขต 1
ใสหลวง,อ.ควนขนุน จ.พัทลุง 93110,เขตพื้นที่การศึกษาพัทลุง เขต 1
ใหม่,อ.หนองจิก จ.ปัตตานี 94170,เขตพื้นที่การศึกษาปัตตานี เขต 1
ใหม่,อ.ยะหริ่ง จ.ปัตตานี 94150,เขตพื้นที่การศึกษาปัตตานี เขต 1
ใหม่ (วันครู 2503),อ.เบตง จ.ยะลา 95110,เขตพื้นที่การศึกษายะลา เขต 3