สร้าง (สำริต ภู่เงิน อนุสรณ์),ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
สำโรงโนนเค็ง,ต.หนองตาด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
สารภี,ต.สะแกซำ อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
สระขี้ตุ่น,ต.ปะเคียบ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
สระบัว,ต.พรสำราญ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
สระปะคำ,ต.พรสำราญ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
สาวเอ้,ต.หินเหล็กไฟ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
สวายสอ,ต.ตูมใหญ่ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
สวายสอ,ต.เมืองไผ่ อ.กระสัง จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สูงเนิน,ต.สูงเนิน อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สวายสอไกรฯ,ต.ชุมแสง อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สำโรง (ภิญโญอนุสรณ์),ต.บ้านปรือ อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สองพี่น้อง,ต.สะเดา อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สะเดา (สามัคคีวิทยา),ต.สะเดา อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สระประดู่หนองมะค่า,ต.หนองโบสถ์ อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สวายสอ,ต.ถนนหัก อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สิงห์ (ราษฎร์อนุสรณ์),ต.บ้านสิงห์ อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สระขาม,ต.เมืองไผ่ อ.หนองกี่ จ.บุรีรัมย์ 31210,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สระขุด,ต.ทุ่งกระเต็น อ.หนองกี่ จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สระตะเคียน,ต.โคกสูง อ.หนองกี่ จ.บุรีรัมย์ 31210,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สะเดาหวาน,ต.โคกสูง อ.หนองกี่ จ.บุรีรัมย์ 31210,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สระสะแก,ต.บุกระสัง อ.หนองกี่ จ.บุรีรัมย์ 31210,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สว่างพัฒนา,ต.ตาจง อ.ละหานทราย จ.บุรีรัมย์ 31170,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สันติสุข,ต.สำโรงใหม่ อ.ละหานทราย จ.บุรีรัมย์ 31170,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สมจิต,ต.โคกว่าน อ.ละหานทราย จ.บุรีรัมย์ 31170,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
สังเคิล,ต.ไพศาล อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สี่เหลี่ยมวิทยา,ต.เขาคอก อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สารภี,ต.สี่เหลี่ยม อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สี่เหลี่ยม,ต.สี่เหลี่ยม อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สายโท 1,ต.ปราสาท อ.บ้านกรวด จ.บุรีรัมย์ 31180,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สายตรี 16,ต.หนองไม้งาม อ.บ้านกรวด จ.บุรีรัมย์ 31180,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สายตรี 9,ต.หนองไม้งาม อ.บ้านกรวด จ.บุรีรัมย์ 31180,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สายโท 4 ใต้,ต.จันทบเพชร อ.บ้านกรวด จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
สี่เหลี่ยมน้อย,ต.แสลงพัน อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
สระสี่เหลี่ยม,ต.บ้านยาง อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
