บัวมล (เจริญราษฎร์อุทิศ),แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
บางรุ่งโรจน์,ต.บางยาง อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บางปลาร้า (กมลราษฎร์นุกูล),ต.บางปลาร้า อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บางขาม,ต.บางขาม อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บุ่งเข้,ต.หนองแสง อ.ปากพลี จ.นครนายก 26130,เขตพื้นที่การศึกษานครนายก เขต 1
บะขมิ้น(วัชระอนุสรณ์),ต.โคกปี่ฆ้อง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
บุกะสัง,ต.หนองแวง อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
บ่อนางชิง,ต.ห้วยโจด อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
บ่อหลวง,ต.หันทราย อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
บึงพระราม,ต.พระเพลิง อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
บึงสาร,ต.มะเริง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
บึงตะโก,ต.พลกรัง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
บึงทับช้าง,ต.จอหอ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
บุ(ประชารัฐพัฒนา),ต.ตลาด อ.เมืองนครราชสีมา จ.นครราชสีมา 30310,เขตพื้นที่การศึกษานครราชสีมา เขต 1
บุมะค่า(ชาวไร่สามัคคี),ต.มาบตะโกเอน อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บุยายแลบ,ต.มาบตะโกเอน อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บุตาโฮ-โนนกลาง,ต.บ้านใหม่ อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บุหว้าสามัคคี,ต.สระว่านพระยา อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บ่อลิงประชาสรรค์,ต.โนนสมบูรณ์ อ.เสิงสาง จ.นครราชสีมา 30330,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บุวังหว้า,ต.สีสุก อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
บึงไทย,ต.ท่าลาดขาว อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
บึงพระ,ต.ท่าลาดขาว อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
บิง,ต.โชคชัย อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
บึงทับปรางค์,ต.โชคชัย อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
บัลลังก์สะอาด,ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บุสายออ(บุญเขตบริหาร),ต.สายออ อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บิง(สุประชาจูงกลางนุสสรณ์),ต.บิง อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
บุตะโก,ต.เมืองเกษตร อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บุเสมา,ต.หนองแจ้งใหญ่ อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บุหัวช้าง,ต.ตะขบ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บ่อปลา,ต.บ่อปลาทอง อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บุใหญ่,ต.สูงเนิน อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
บุตาสง,ต.มะเกลือเก่า อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
บึงอ้อ(ปุ่นอุปถัมภ์),ต.บึงอ้อ อ.ขามทะเลสอ จ.นครราชสีมา 30280,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บุระไหว,ต.บึงอ้อ อ.ขามทะเลสอ จ.นครราชสีมา 30280,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บุ่งเตย,ต.หมูสี อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
บ่อทอง,ต.หนองสาหร่าย อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
บุกระโทก,ต.หนองหัวแรต อ.หนองบุนนาก จ.นครราชสีมา 30410,เขตพื้นที่การศึกษานครราชสีมา เขต 2
บุตะโก,ต.วังน้ำเขียว อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บุเจ้าคุณ,ต.วังหมี อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บะใหญ่,ต.อุดมทรัพย์ อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บุไผ่,ต.ไทยสามัคคี อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บึงปรือ,ต.บึงปรือ อ.เทพารักษ์ จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บุเขว้า,ต.หนองหอย อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บัวถนน,ต.สูงเนิน อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บุตาเวสน์,ต.หนองกง อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
