ไผ่หมูขวิด,ต.ยี่ล้น อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไทยสามัคคี,ต.ไทยสามัคคี อ.หนองหงส์ จ.บุรีรัมย์ 31240,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ไทรออ,ต.เสาเดียว อ.หนองหงส์ จ.บุรีรัมย์ 31240,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ไถงตรง,ต.นอกเมือง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
ไพรขลา(ไพรขลาราษฎร์พิทยากูล),ต.ไพรขลา อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ไกลเสนียด,ต.หนองบัว อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ไทร,ต.บ้านไทร อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ไผ่ (วันครู 2503),ต.ไผ่ อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ไพรษรสำโรง,ต.ขวาวใหญ่ อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
ไทยสมบูรณ์(กรป.กลางอุทิศ),ต.บ้านชบ อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ไทยเดิม,ต.สำเภาลูน อ.บัวเชด จ.สุรินทร์ 32230,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ไทยนิยมพัฒนา,ต.บักได อ.พนมดงรัก จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ไทยสันติสุข,ต.บักได อ.พนมดงรัก จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ไหล่ดุมตาเหมา,ต.สังเม็ก อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ไร่เจริญ,ต.จานใหญ่ อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ไฮ(วันครู 2503),ต.กระแชง อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ไทร,ต.สำโรงพลัน อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ไม้แก่น,ต.สำโรงพลัน อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ไฮน้อย,ต.กู่ อ.ปรางค์กู่ จ.ศรีสะเกษ 33170,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ไฮเลิง,ต.สำโรงปราสาท อ.ปรางค์กู่ จ.ศรีสะเกษ 33170,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ไฮ,ต.พิมายเหนือ อ.ปรางค์กู่ จ.ศรีสะเกษ 33170,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ไผ่,ต.ไผ่ อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ไพรพะยอม,ต.กล้วยกว้าง อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ไฮใหญ่,ต.กล้วยกว้าง อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ไทยบวกแต้บวกเตย,ต.บุสูง อ.วังหิน จ.ศรีสะเกษ 33270,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ไทยถาวรโคกแดงประสานมิตร,ต.ห้วยตามอญ อ.ภูสิงห์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ไพรพัฒนา,ต.ไพรพัฒนา อ.ภูสิงห์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
