ไผ่หมูขวิด,ต.ยี่ล้น อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไผ่หนองแคน,ต.หนองฮาง อ.เบญจลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ไร่,ต.ตะบ่าย อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ไทยโพนทราย,ต.บ้านไทย อ.เขื่องใน จ.อุบลราชธานี 34320,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ไทยวิทยาคม,ต.บ้านไทย อ.เขื่องใน จ.อุบลราชธานี 34320,เขตพื้นที่การศึกษาอุบลราชธานี เขต 29
ไผ่,ต.กลางใหญ่ อ.เขื่องใน จ.อุบลราชธานี 34320,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ไทรย้อย,ต.เขมราฐ อ.เขมราฐ จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไฮตาก,ต.แก้ง อ.เดชอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ไผ่ล้อม,ต.ตากแดด อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไหล่ทุ่ง,ต.ไหล่ทุ่ง อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไหล่สูง,ต.ไหล่ทุ่ง อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไชยชนะ,ต.โนนสวาง อ.กุดข้าวปุ้น จ.อุบลราชธานี 34270,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไพบูลย์,ต.หนองช้างใหญ่ อ.ม่วงสามสิบ จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ไผ่ใหญ่,ต.ไผ่ใหญ่ อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ไทรงาม,ต.ดอนจิก อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ไร่ใต้,ต.ไร่ใต้ อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ไฮหย่อง,ต.คำหว้า อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ไพรสวรรค์,ต.สารภี อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไทรงาม,ต.กองโพน อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไหล่ธาตุ,ต.กองโพน อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ไพบูลย์,ต.ไพบูลย์ อ.น้ำขุ่น จ.อุบลราชธานี 34260,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ไทยเจริญ,ต.ไทยเจริญ อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
