ฟ้าหยาดราษฏร์นิยม,ต.ฟ้าหยาด อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
ฟ้าแดดสูงยางวิทยาคาร,ต.หนองแปน อ.กมลาไสย จ.กาฬสินธุ์ 46130,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ฟากท่าวิทยา,ต.ฟากท่า อ.ฟากท่า จ.อุตรดิตถ์ 53160,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
ฟากกว๊านวิทยาคม,ต.บ้านตุ่น อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1