ลาซาล,แขวงบางนา เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ลับแลศรีวิทยา,ต.ไผ่ล้อม อ.ลับแล จ.อุตรดิตถ์ 53210,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 39
ลองวิทยา,ต.ห้วยอ้อ อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
ลุ่มน้ำวิทยา,ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ล่องแพวิทยา,ต.แม่สวด อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ล่องแพวิทยาสาขาบ้านอุมโละ,ต.แม่สวด อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ลาซาลโชติรวีนครสวรรค์,ต.ปากน้ำโพ อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ลาดทิพรสพิทยาคม,ต.ลาดทิพรส อ.ตาคลี จ.นครสวรรค์ 60260,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ลาดยาววิทยาคม,ต.สระแก้ว อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ลานสักวิทยา,ต.ป่าอ้อ อ.ลานสัก จ.อุทัยธานี 61160,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ลานกระบือวิทยา,ต.ลานกระบือ อ.ลานกระบือ จ.กำแพงเพชร 62170,เขตพื้นที่การศึกษากำแพงเพชร เขต 41
ลิไทพิทยาคม,ต.เมืองเก่า อ.เมืองสุโขทัย จ.สุโขทัย 64210,เขตพื้นที่การศึกษาสุโขทัย เขต 38
ลูกจันทน์ปิยะอุย,ต.ลาดแค อ.ชนแดน จ.เพชรบูรณ์ 67150,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ลุ่มโป่งเสี้ยว,ต.วังเย็น อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ละเอียดอุปถัมภ์,ต.ดอนพุทรา อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
ละเมาะ,ต.หนองพลับ อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
ลานสกาประชาสรรค์,ต.กำโลน อ.ลานสกา จ.นครศรีธรรมราช 82230,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ละอายพิทยานุสรณ์,ต.ละอาย อ.ฉวาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 12
ลันตาราชประชาอุทิศ,ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่ 81150,เขตพื้นที่การศึกษากระบี่ เขต 1
ลำทับประชานุเคราะห์,ต.ลำทับ อ.ลำทับ จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
ละอุ่นวิทยาคาร,ต.บางแก้ว อ.ละอุ่น จ.ระนอง 85130,เขตพื้นที่การศึกษาระนอง เขต 1
ละแมวิทยา,ต.ละแม อ.ละแม จ.ชุมพร 86170,เขตพื้นที่การศึกษาชุมพร เขต 2
ลําไพลราษฎร์อุทิศ,ต.ลำไพล อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
ละงูพิทยาคม,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
ลำภูราเรืองวิทย์,ต.ลำภูรา อ.ห้วยยอด จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 13
ลำพะยาประชานุเคราะห์,ต.ลำพะยา อ.เมืองยะลา จ.ยะลา 95160,เขตพื้นที่การศึกษายะลา เขต 1