ซองพลู(วิฑิตราชประชานุสรณ์),ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
ซับเสือแมบ,ต.นิคมสร้างตนเอง อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ซับตะกั่ว,ต.นิยมชัย อ.สระโบสถ์ จ.ลพบุรี 15240,เขตพื้นที่การศึกษาลพบุรี เขต 2
ซึ้งล่าง(ประชาอุทิศพิทยาคาร),ต.วันยาว อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ซึ้งบน(สำนักงานสลากกินแบ่งสงเคราะห์ 6),ต.ซึ้ง อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2