บวรนิเวศ,แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
บางพุทโธ,ต.ตะลุง อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
บ่อเงิน,ต.โพธิ์เก้าต้น อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
บ้านลาด,ต.บ้านเบิก อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
บ้านทราย,ต.บ้านทราย อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
บางกะพี้(พสกอำรุง),ต.บางกะพี้ อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
บ้านลาด,ต.หนองเต่า อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
บ้านหมี่ใหญ่,ต.โพนทอง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
บางพึ่ง,ต.มหาสอน อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
บ้านจ่า (เอี่ยมโหมดอนุสรณ์),ต.บ้านจ่า อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
บ้านกลับ,ต.โพทะเล อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
บางปูน,ต.ชีน้ำร้าย อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
บ้านลำ,ต.โพธิ์ชัย อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
บ้านกลำ,ต.ธรรมามูล อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
บ่อแร่(วิจิตราษฎร์บำรุง),ต.บ่อแร่ อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
บ้านหนอง,ต.ตลุก อ.สรรพยา จ.ชัยนาท 17150,เขตพื้นที่การศึกษาชัยนาท เขต 1
บำเพ็ญบุญ,ต.ห้วยกรด อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
บ้านใหม่,ต.บ้านเชี่ยน อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
บ้านกล้วย,ต.ตะกุด อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
บุรีการาม,ต.ห้วยแห้ง อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านธาตุใต้(สนิทไชยวิทยาคาร),ต.บ้านธาตุ อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
บึงไม้,ต.ชะอม อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ่อโศรก,ต.สองคอน อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านดง,ต.ชำผักแพว อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
บัวลอย(สามัคคีสงเคราะห์),ต.บัวลอย อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านลาด,ต.ห้วยขมิ้น อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านไผ่,ต.หนองจิก อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านจาน,ต.หนองนาก อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านดอน,ต.บ้านลำ อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านลำ(บ้านลำวิทยาคาร),ต.หนองสรวง อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
บ้านใหม่,ต.ไก่เส่า อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
บ่อพระอินทร์,ต.สร่างโศก อ.บ้านหมอ จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 1
บ้านรี,ต.ไผ่หลิ่ว อ.ดอนพุด จ.สระบุรี 18210,เขตพื้นที่การศึกษาสระบุรี เขต 1
บ้านโพธิ์ (มิตรภาพที่ 132),ต.ห้วยป่าหวาย อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
บ้านยาง,ต.บ้านยาง อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
บำเพ็ญพรต(ประมาณราษฎร์วิทยานุสรณ์),ต.หัวปลวก อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
บ้านโคก(มงคลประชาสรรค์),ต.ม่วงงาม อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
บ้านชุ้ง(อิสระวิทยา),ต.เริงราง อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
บ้านหมาก,ต.มวกเหล็ก อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
บางเป้ง,ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี 20130,เขตพื้นที่การศึกษาชลบุรี เขต 1
บุญญราศรี,ต.คลองตำหรุ อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
บุญสัมพันธ์,ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20260,เขตพื้นที่การศึกษาชลบุรี เขต 3
บ้านไร่,ต.มาบโป่ง อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
บ้านงิ้ว,ต.หนองกะขะ อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
บ้านเก่า,ต.บ้านเก่า อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
บางนาง,ต.บางนาง อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
บ้านกลาง,ต.หน้าพระธาตุ อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
บ้านศาลา,ต.บ้านเซิด อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
บ้านนา,ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
บ้านดอน,ต.เชิงเนิน อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
บ้านฉาง,ต.บ้านฉาง อ.บ้านฉาง จ.ระยอง 21130,เขตพื้นที่การศึกษาระยอง เขต 1
บุนนาค,ต.ชากโดน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
บ้านนา,ต.บ้านนา อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
บ้านค่าย,ต.บ้านค่าย อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
บ้านเก่า,ต.ตาขัน อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
บางชัน,ต.บางชัน อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
บูรพาพิทยาราม,ต.เขาวัว อ.ท่าใหม่ จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
บ้านอ่าง,ต.อ่างคีรี อ.มะขาม จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
บางสระเก้า (พิสิฏฐวิทยาคาร),ต.บางสระเก้า อ.แหลมสิงห์ จ.จันทบุรี 22190,เขตพื้นที่การศึกษาจันทบุรี เขต 2
บางกะไชย,ต.บางกะไชย อ.แหลมสิงห์ จ.จันทบุรี 22120,เขตพื้นที่การศึกษาจันทบุรี เขต 2
บุปผาราม (คุณวุฒิอุปถัมภ์ มิตรภาพที่ 100),ต.วังกระแจะ อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
บางปรือ,ต.ห้วยแร้ง อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
บางปิดบน,ต.บางปิด อ.แหลมงอบ จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
บางปิดล่าง,ต.บางปิด อ.แหลมงอบ จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
บางปรง,ต.บางพระ อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางพระ,ต.บางพระ อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บ้านนา(ประชาชนรังสฤษฎิ์),ต.บางกะไห อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางปลานัก,ต.บางเตย อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางกระเจ็ด,ต.บางกระเจ็ด อ.บางคล้า จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บางกระดาน,ต.บางกระเจ็ด อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บึงน้ำรักษ์,ต.บึงน้ำรักษ์ อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24170,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บึงตาหอม,ต.ดอนเกาะกา อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางไทร,ต.โยธะกา อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บึงทองหลาง,ต.ศาลาแดง อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางสาย,ต.โพรงอากาศ อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บน,ต.บางปะกง อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางวัว,ต.บางวัว อ.บางปะกง จ.ฉะเชิงเทรา 24180,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางสมัคร,ต.บางสมัคร อ.บางปะกง จ.ฉะเชิงเทรา 24180,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางผึ้ง,ต.บางผึ้ง อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางเกลือ,ต.บางเกลือ อ.บางปะกง จ.ฉะเชิงเทรา 24180,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางแสม,ต.ท่าข้าม อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บ้านซ่อง,ต.บ้านซ่อง อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บึงกระจับ,ต.หนองแหน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บางคา (บุญชู ฟุ้ง ประชานุกูล),ต.เมืองใหม่ อ.ราชสาส์น จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บางมะเฟือง,ต.คู้ยายหมี อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บ้านกล้วย,ต.คลองเขื่อน อ.คลองเขื่อน จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บางโรง,ต.บางโรง อ.คลองเขื่อน จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บางตลาด,ต.บางตลาด อ.คลองเขื่อน จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
บางคาง,ต.รอบเมือง อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บ้านพระ,ต.บ้านพระ อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บ้านยาง,ต.บ้านพระ อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บางกระเบา,ต.บางกระเบา อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
